ship_type,shipname
Passenger,VICTORIA SEAWAYS
Tug,TAK-6
Tug,KLASCO2
Tug,MUSHA
Tug,SOLL TENGIZ
Tug,JURINIS
Tug,VEJUNAS
Passenger,REGINA SEAWAYS
Tug,PELICAN
Tug,LOTAS
Tug,NZ55
Passenger,ATHENA SEAWAYS
Cargo,HELGA
Cargo,ADELE
Cargo,FORSETI
Cargo,MISTRAL
Cargo,VITA
Cargo,BEKAU
Cargo,BALDER
Cargo,BRIGGA
Cargo,FRIGGA
Cargo,BF VICTORIA
Cargo,LYRA
Cargo,TRAVEBERG
Cargo,CEMISLE
Cargo,BOMAR MOON
Cargo,NBAAR MOON
Cargo,ANETTA
Cargo,WILSON ALSTER
Tanker,DAVINO D
Cargo,FRI STREAM
Tanker,ZAPADNYY
Cargo,AGOT
Cargo,GREEN ATLANTIC
Cargo,GALAN
Cargo,WINTER BAY
Cargo,GRAND
Cargo,AMATHUS
Tug,POSEIDON I
Cargo,PACIFIC CALM
Cargo,OCEAN RAINBOW
Cargo,BLUE CHIP
Cargo,LARGONA
Cargo,SAN REMO
Cargo,RUBYN
Cargo,GENCO RELIANCE
Cargo,AFRICAN CENDANA
Tanker,UZAVA
Tanker,NAVIG8 STRENGTH
Tanker,NAVIG8 UNIVERSE
Tanker,INDEPENDENCE
Cargo,THOR INTEGRITY
Cargo,IVS KITE
Tanker,SCF BALTICA
Cargo,USOLIE
Tanker,SAKURA PRINCESS
Tanker,GREEN PLANET
Cargo,VANTAGE WAVE
Tanker,SAMRAA ALKHALEEJ
Cargo,CONTAINERSHIPS VII
Tug,KLASCO-3
Tug,MINTIS
Cargo,TRUE LOVE
Tug,TAK-10
Tug,A.BARAUSKAS
Tug,TAK-11
Cargo,ALANA
Tanker,HAFNIA SUNDA
Tug,NATO WARSHIP M53
Tug,VAKARIS
Tug,T-2
Tug,T-3
Pleasure,LILIAN101
Pleasure,LT-12465
Cargo,POLA MUROM
Cargo,POLA UGLICH
Cargo,REINBEK
Cargo,FINNHAWK
Cargo,AUTO BAY
Cargo,FINNTIDE
Cargo,FINNWAVE
Cargo,FINNMILL
Cargo,SEAGARD
Cargo,EIRA
Unspecified,VTS 2734463
Unspecified,VTS 2734492
Cargo,BF CARTAGENA
Cargo,X-PRESS ETNA
Cargo,SOLONG
Cargo,VLADIMIR
Cargo,WMS GRONINGEN
Cargo,HEINRICH SCHEPERS
Cargo,NORDIC HAMBURG
Cargo,VARVARA
Cargo,BLUEBILL
Cargo,PIRITA
